time,open,high,low,close
2025-11-01T00:00:00+09:00,110930,111270,110570,110910
2025-11-01T00:15:00+09:00,110920,110970,110550,110630
2025-11-01T00:30:00+09:00,110630,110760,110400,110590
2025-11-01T00:45:00+09:00,110590,110720,110300,110380
2025-11-01T01:00:00+09:00,110360,110440,110180,110270
2025-11-01T01:15:00+09:00,110210,110280,110000,110260
2025-11-01T01:30:00+09:00,110280,110320,109830,109890
2025-11-01T01:45:00+09:00,109880,109880,108880,109020
2025-11-01T02:00:00+09:00,108970,109410,108870,109130
2025-11-01T02:15:00+09:00,109120,109360,108850,109250
2025-11-01T02:30:00+09:00,109250,109490,109240,109460
2025-11-01T02:45:00+09:00,109470,109590,109440,109490
2025-11-01T03:00:00+09:00,109490,109710,109490,109610
2025-11-01T03:15:00+09:00,109580,109590,109410,109460
2025-11-01T03:30:00+09:00,109460,109970,109140,109950
2025-11-01T03:45:00+09:00,109910,109920,109540,109650
2025-11-01T04:00:00+09:00,109620,109620,109330,109510
2025-11-01T04:15:00+09:00,109510,110000,109510,110000
2025-11-01T04:30:00+09:00,110000,110270,109960,110120
2025-11-01T04:45:00+09:00,110120,110360,109980,109980
2025-11-01T05:00:00+09:00,109990,109990,109750,109910
2025-11-01T05:15:00+09:00,109930,109980,109840,109860
2025-11-01T05:30:00+09:00,109860,109860,109690,109720
2025-11-01T05:45:00+09:00,109720,109970,109660,109670
2025-11-01T06:00:00+09:00,109690,109780,109550,109550
2025-11-01T06:15:00+09:00,109540,109870,109540,109730
2025-11-01T06:30:00+09:00,109730,109940,109630,109790
2025-11-01T06:45:00+09:00,109780,109850,109780,109790
2025-11-01T07:00:00+09:00,109790,109960,109710,109920
2025-11-01T07:15:00+09:00,109920,110010,109820,109850
2025-11-01T07:30:00+09:00,109840,109920,109840,109870
2025-11-01T07:45:00+09:00,109840,109840,109780,109820
2025-11-01T08:00:00+09:00,109810,109810,109780,109780
2025-11-01T08:15:00+09:00,109780,109820,109780,109810
2025-11-01T08:30:00+09:00,109800,109850,109750,109850
2025-11-01T08:45:00+09:00,109850,109880,109820,109820
2025-11-01T09:00:00+09:00,109820,109840,109600,109680
2025-11-01T09:15:00+09:00,109680,109760,109640,109740
2025-11-01T09:30:00+09:00,109740,109830,109670,109830
2025-11-01T09:45:00+09:00,109830,109970,109830,109950
2025-11-01T10:00:00+09:00,109930,110080,109930,109990
2025-11-01T10:15:00+09:00,109990,110140,109910,110140
2025-11-01T10:30:00+09:00,110130,110230,110020,110020
2025-11-01T10:45:00+09:00,110020,110060,109970,109970
2025-11-01T11:00:00+09:00,109960,109970,109760,109810
2025-11-01T11:15:00+09:00,109840,109990,109840,109880
2025-11-01T11:30:00+09:00,109880,109880,109720,109830
2025-11-01T11:45:00+09:00,109840,110070,109840,110020
2025-11-01T12:00:00+09:00,110020,110160,110020,110130
